Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2015/1/2,14.858,14.883333,14.217333,14.620667,14.620667,71466000,
2015/1/5,14.303333,14.433333,13.810667,14.006,14.006,80527500,
2015/1/6,14.004,14.28,13.614,14.085333,14.085333,93928500,
2015/1/7,14.223333,14.318667,13.985333,14.063333,14.063333,44526000,
2015/1/8,14.187333,14.253333,14.000667,14.041333,14.041333,51637500,
2015/1/9,13.928,13.998667,13.664,13.777333,13.777333,70024500,
2015/1/12,13.536667,13.631333,13.283333,13.480667,13.480667,89254500,
2015/1/13,13.554667,13.840667,13.394,13.616667,13.616667,67159500,
2015/1/14,12.388667,13.013333,12.333333,12.846,12.846,173278500,
2015/1/15,12.966,13.05,12.666667,12.791333,12.791333,78247500,
2015/1/16,12.713333,12.966,12.643333,12.871333,12.871333,54048000,
2015/1/20,12.924667,12.941333,12.469333,12.795333,12.795333,67548000,
2015/1/21,12.636667,13.245333,12.634,13.104667,13.104667,62295000,
2015/1/22,13.133333,13.549333,13.013333,13.441333,13.441333,61753500,
2015/1/23,13.352667,13.566667,13.222,13.419333,13.419333,51579000,
2015/1/26,13.455333,13.908,13.403333,13.77,13.77,48517500,
2015/1/27,13.628,13.868667,13.553333,13.732,13.732,41715000,
2015/1/28,13.740667,13.758,13.228,13.291333,13.291333,47244000,
2015/1/29,13.404667,13.732,13.1,13.68,13.68,53221500,
2015/1/30,13.597333,13.831333,13.533333,13.573333,13.573333,45105000,
2015/2/2,13.598,14.13,13.553333,14.062667,14.062667,62238000,
2015/2/3,14.214667,14.691333,14.084667,14.557333,14.557333,72393000,
2015/2/4,14.552667,14.765333,14.453333,14.57,14.57,49581000,
2015/2/5,14.658667,15.032,14.642667,14.732667,14.732667,52843500,
2015/2/6,14.8,14.893333,14.433333,14.490667,14.490667,48658500,
2015/2/9,14.358667,14.528667,14.132667,14.498667,14.498667,52086000,
2015/2/10,14.503333,14.7,14.333333,14.419333,14.419333,80857500,
2015/2/11,14.147333,14.316,13.818667,14.186667,14.186667,146536500,
2015/2/12,12.904667,13.539333,12.885333,13.525333,13.525333,234744000,
2015/2/13,13.526667,13.732667,13.394,13.584667,13.584667,92865000,
2015/2/17,13.713333,13.713333,13.433333,13.623333,13.623333,59694000,
2015/2/18,13.611333,13.744667,13.506667,13.630667,13.630667,40704000,
2015/2/19,13.666667,14.162667,13.583333,14.114,14.114,77311500,
2015/2/20,14.052,14.506667,13.987333,14.474,14.474,89731500,
2015/2/23,14.377333,14.546667,13.755333,13.822667,13.822667,127497000,
2015/2/24,13.819333,13.819333,13.446667,13.607333,13.607333,99054000,
2015/2/25,13.662667,13.809333,13.505333,13.584,13.584,58642500,
2015/2/26,13.6,14.072667,13.481333,13.812667,13.812667,97093500,
2015/2/27,13.793333,13.903333,13.52,13.556,13.556,58231500,
2015/3/2,13.513333,13.556,13.055333,13.155333,13.155333,118831500,
2015/3/3,13.120667,13.349333,13.021333,13.304,13.304,66484500,
