Date,Average Sentiment,Open,High,Low,Close,Adj Close,Volume
2023-07-03,0.0,339.190002,340.899994,336.570007,337.98999,335.971436,12508700
2023-07-05,33.333333333333336,335.089996,341.649994,334.730011,338.149994,336.130493,18172400
2023-07-06,0.0,337.299988,342.98999,335.5,341.269989,339.231842,28161200
2023-07-07,0.0,339.320007,341.790009,337.0,337.220001,335.206055,21185300
2023-07-10,0.0,334.600006,335.230011,327.589996,331.829987,329.848206,32791400
2023-07-11,0.0,331.059998,332.859985,327.0,332.470001,330.484406,26698200
2023-07-12,-12.5,336.600006,341.649994,335.670013,337.200012,335.186188,29995300
2023-07-13,0.0,339.559998,343.73999,339.019989,342.660004,340.613556,20567200
2023-07-14,-50.0,347.589996,351.429993,344.309998,345.23999,343.178131,28302200
2023-07-17,-100.0,345.679993,346.98999,342.200012,345.730011,343.665253,20363900
2023-07-18,16.666666666666668,345.829987,366.779999,342.170013,359.48999,357.343079,64872700
2023-07-19,-33.333333333333336,361.75,362.459991,352.440002,355.079987,352.959381,39732900
2023-07-20,25.0,353.570007,357.970001,345.369995,346.869995,344.798401,33778400
2023-07-21,0.0,349.149994,350.299988,339.829987,343.769989,341.716919,69368900
2023-07-24,0.0,345.850006,346.920013,342.309998,345.109985,343.04892,26678100
2023-07-25,40.0,347.109985,351.890015,345.070007,350.980011,348.88385,41637700
2023-07-26,0.0,341.440002,344.670013,333.109985,337.769989,335.752747,58383700
2023-07-27,0.0,340.480011,341.329987,329.049988,330.720001,328.744873,39635300
2023-07-28,-100.0,333.670013,340.01001,333.170013,338.369995,336.349152,28484900
2023-07-31,0.0,336.920013,337.700012,333.359985,335.920013,333.913818,25446000
2023-08-01,0.0,335.190002,338.540009,333.700012,336.339996,334.331299,18311900
2023-08-02,0.0,333.630005,333.630005,326.359985,327.5,325.544098,27761300
2023-08-03,50.0,326.0,329.880005,325.950012,326.660004,324.709137,18253700
2023-08-04,0.0,331.880005,335.140015,327.23999,327.779999,325.822418,23727700
2023-08-07,-100.0,328.369995,331.109985,327.519989,330.109985,328.138519,17741500
2023-08-08,0.0,326.959991,328.75,323.0,326.049988,324.102753,22327600
2023-08-09,-100.0,326.470001,327.109985,321.049988,322.230011,320.305603,22373300
2023-08-10,0.0,326.019989,328.26001,321.179993,322.929993,321.001373,20113700
2023-08-11,100.0,320.26001,322.410004,319.209991,321.01001,319.092865,24342600
2023-08-14,0.0,321.390015,324.059998,320.079987,324.040009,322.104736,18836100
2023-08-15,0.0,323.0,325.089996,320.899994,321.859985,319.937775,16966300
2023-08-16,33.333333333333336,320.799988,324.420013,319.799988,320.399994,319.160797,20698900
2023-08-17,-100.0,320.540009,321.869995,316.209991,316.880005,315.654449,21257200
2023-08-18,-100.0,314.48999,318.380005,311.549988,316.480011,315.255981,24744800
2023-08-21,0.0,317.929993,322.769989,317.040009,321.880005,320.635101,24040000
2023-08-22,33.333333333333336,325.5,326.079987,321.459991,322.459991,321.21283,16102000
2023-08-23,-25.0,323.820007,329.200012,323.459991,327.0,325.735291,21166400
2023-08-24,0.0,332.850006,332.980011,319.959991,319.970001,318.732483,23281400
2023-08-25,0.0,321.470001,325.359985,318.799988,322.980011,321.730835,21684100
2023-08-28,0.0,325.660004,326.149994,321.720001,323.700012,322.448059,14808500
2023-08-29,0.0,321.880005,328.980011,321.880005,328.410004,327.139832,19284600
2023-08-30,-100.0,328.670013,329.809998,326.450012,328.790009,327.518372,15222100
2023-08-31,50.0,329.200012,330.910004,326.779999,327.76001,326.492371,26411000
2023-09-01,0.0,331.309998,331.98999,326.779999,328.660004,327.388855,14931200
2023-09-05,-50.0,329.0,334.850006,328.660004,333.549988,332.259918,18553900
2023-09-06,0.0,333.380005,334.459991,330.179993,332.880005,331.59256,17535800
2023-09-07,0.0,331.290009,333.079987,329.029999,329.910004,328.634033,18381000
2023-09-08,-100.0,330.089996,336.160004,329.459991,334.269989,332.977142,19530100
2023-09-11,-20.0,337.23999,338.420013,335.429993,337.940002,336.632965,16583300
2023-09-12,-16.666666666666668,335.820007,336.790009,331.480011,331.769989,330.486816,17565500
2023-09-13,-33.333333333333336,331.309998,336.850006,331.170013,336.059998,334.760254,16544400
2023-09-14,50.0,339.149994,340.859985,336.570007,338.700012,337.390015,20267000
2023-09-15,0.0,336.920013,337.399994,329.649994,330.220001,328.94281,37666900
2023-09-18,0.0,327.799988,330.399994,326.359985,329.059998,327.787292,16834200
2023-09-19,0.0,326.170013,329.390015,324.51001,328.649994,327.378876,16505900
2023-09-20,-66.66666666666667,329.51001,329.589996,320.51001,320.769989,319.529388,21436500
2023-09-21,50.0,319.26001,325.350006,315.0,319.529999,318.294189,35529500
2023-09-22,25.0,321.320007,321.450012,316.149994,317.01001,315.783936,21447900
2023-09-25,33.333333333333336,316.589996,317.670013,315.0,317.540009,316.31189,17836000
2023-09-26,-25.0,315.130005,315.880005,310.019989,312.140015,310.93277,26297600
2023-09-27,-50.0,312.299988,314.299988,309.690002,312.790009,311.580231,19410100
2023-09-28,-60.0,310.98999,315.480011,309.450012,313.640015,312.426971,19683600
2023-09-29,-50.0,317.75,319.470001,314.980011,315.75,314.528809,24140300
2023-10-02,-50.0,316.279999,321.890015,315.179993,321.799988,320.555389,20570000
2023-10-03,-20.0,320.829987,321.390015,311.209991,313.390015,312.177917,21033500
2023-10-04,-100.0,314.029999,320.040009,314.0,318.959991,317.726379,20720100
2023-10-05,-50.0,319.089996,319.980011,314.899994,319.359985,318.124817,16965600
2023-10-06,33.333333333333336,316.549988,329.190002,316.299988,327.26001,325.994293,25645500
2023-10-09,0.0,324.75,330.299988,323.179993,329.820007,328.544373,19891200
2023-10-10,0.0,330.959991,331.100006,327.670013,328.390015,327.119934,20557100
2023-10-11,0.0,331.209991,332.820007,329.140015,332.420013,331.134338,20063200
2023-10-12,0.0,330.570007,333.630005,328.720001,331.160004,329.879211,19313100
2023-10-13,20.0,332.380005,333.829987,326.359985,327.730011,326.462494,21072400
2023-10-16,-66.66666666666667,331.049988,336.140015,330.600006,332.640015,331.353485,22158000
2023-10-17,-50.0,329.589996,333.459991,327.410004,332.059998,330.775696,18338500
2023-10-18,-33.333333333333336,332.48999,335.589996,328.299988,330.109985,328.833252,23153600
2023-10-19,-50.0,332.149994,336.880005,330.910004,331.320007,330.038574,25052100
2023-10-20,0.0,331.720001,331.920013,325.450012,326.670013,325.406586,25012600
2023-10-23,0.0,325.470001,332.730011,324.390015,329.320007,328.046326,24374700
2023-10-24,60.0,331.299988,331.839996,327.600006,330.529999,329.251648,31153600
2023-10-25,-25.0,345.019989,346.200012,337.619995,340.670013,339.352448,55053800
2023-10-26,50.0,340.540009,341.630005,326.940002,327.890015,326.621857,37828500
2023-10-27,-100.0,330.429993,336.720001,328.399994,329.809998,328.534424,29856500
2023-10-30,0.0,333.410004,339.450012,331.829987,337.309998,336.005402,22828100
2023-10-31,0.0,338.850006,339.0,334.690002,338.109985,336.802307,20265300
2023-11-01,-33.333333333333336,339.790009,347.420013,339.649994,346.070007,344.731537,28158800
2023-11-02,-66.66666666666667,347.23999,348.829987,344.769989,348.320007,346.972839,24348100
2023-11-03,0.0,349.630005,354.390015,347.329987,352.799988,351.435486,23624000
2023-11-06,0.0,353.450012,357.540009,353.350006,356.529999,355.151062,23828300
2023-11-07,0.0,359.399994,362.459991,357.630005,360.529999,359.13562,25833900
2023-11-08,0.0,361.679993,363.869995,360.549988,363.200012,361.795288,26767800
2023-11-09,50.0,362.299988,364.790009,360.359985,360.690002,359.294983,24847300
2023-11-10,-100.0,361.48999,370.100006,361.070007,369.670013,368.240265,28042100
2023-11-13,0.0,368.220001,368.470001,365.899994,366.679993,365.26181,19986500
2023-11-14,-33.333333333333336,371.01001,371.950012,367.350006,370.269989,368.837921,27683900
2023-11-15,100.0,371.279999,373.130005,367.109985,369.670013,368.987671,26860100
