Date,Open,High,Low,Close,Volume
2020/5/8 04:00,119,119,119,119,9340
2020/5/8 05:35,119.1,119.1,119.1,119.1,2000
2020/5/8 07:00,119,119,118.95,118.95,16880
2020/5/8 07:15,119.0175,119.0175,119.0175,119.0175,3920
2020/5/8 07:20,119.02,119.02,119.02,119.02,8460
2020/5/8 07:30,119.0215,119.0215,118.95,118.95,8860
2020/5/8 07:40,118.919,118.9485,118.919,118.9485,6740
2020/5/8 08:00,118.85,119.02,118.85,119.02,8500
2020/5/8 08:05,118.9,118.9,118.9,118.9,8280
2020/5/8 08:10,118.825,118.8995,118.825,118.8995,29260
2020/5/8 08:15,118.825,118.825,118.825,118.825,4000
2020/5/8 08:25,118.756,118.756,118.6035,118.6035,24880
2020/5/8 08:30,118.7,119.092,118.7,118.997,79220
2020/5/8 08:35,118.861,119,118.85,119,26080
2020/5/8 08:40,118.95,119.0925,118.95,119.0925,26980
2020/5/8 08:45,119.022,119.022,118.986,118.986,17400
2020/5/8 08:50,118.9,118.9,118.9,118.9,2860
2020/5/8 09:05,118.775,118.775,118.775,118.775,3360
2020/5/8 09:10,118.775,118.775,118.633,118.65,21620
2020/5/8 09:15,118.65,118.65,118.55,118.5625,33320
2020/5/8 09:20,118.5,118.5,118.5,118.5,17100
2020/5/8 09:25,118.4605,118.739,118.4075,118.577,75720
2020/5/8 09:30,118.607,118.689,117.94,118.16,2365640
2020/5/8 09:35,118.1045,118.5,118.005,118.401,1088160
2020/5/8 09:40,118.4375,118.4375,117.9742,117.9995,985000
2020/5/8 09:45,117.9745,118.2698,117.9745,118.1695,723480
2020/5/8 09:50,118.1468,118.274,117.85,117.9,907460
2020/5/8 09:55,117.8817,118.689,117.855,117.9725,999940
2020/5/8 10:00,118.026,118.689,117.9415,118.1151,1208540
2020/5/8 10:05,118.05,118.244,117.9773,118.2,966500
2020/5/8 10:10,118.219,118.4872,118.2078,118.437,1416660
2020/5/8 10:15,118.3915,118.7895,118.344,118.7416,1763780
2020/5/8 10:20,118.72,118.811,118.592,118.6976,792020
2020/5/8 10:25,118.6645,118.937,118.6645,118.9198,1008200
2020/5/8 10:30,118.8915,118.9675,118.7705,118.9435,840760
2020/5/8 10:35,118.961,119.2995,118.9425,119.2,1755120
2020/5/8 10:40,119.2125,119.3622,119.1122,119.146,799580
2020/5/8 10:45,119.1416,119.1955,118.911,118.953,687900
2020/5/8 10:50,118.9195,119.1,118.903,119.053,604920
2020/5/8 10:55,119.0528,119.25,119.0005,119.1785,744880
2020/5/8 11:00,119.1645,119.192,118.965,119.0175,620140
2020/5/8 11:05,118.9975,119.046,118.85,118.955,587000
